origNode, k, verticesSeen
414,3,28418,
415,1,166,
415,2,14333,
415,3,28085,
416,1,55,
416,2,7328,
416,3,27178,
417,1,296,
417,2,15896,
417,3,28209,
418,1,48,
418,2,8875,
418,3,27488,
419,1,29,
419,2,9981,
419,3,27588,
420,1,412,
420,2,18224,
420,3,28339,
421,1,80,
421,2,10286,
421,3,27685,
422,1,36,
422,2,5881,
422,3,26772,
423,1,158,
423,2,13660,
423,3,28081,
424,1,19,
424,2,6738,
424,3,26988,
425,1,14,
425,2,4654,
425,3,26289,
426,1,347,
426,2,18013,
426,3,28316,
427,1,45,
427,2,6951,
427,3,27075,
428,1,21,
428,2,6628,
428,3,26986,
429,1,119,
429,2,13137,
429,3,28010,
430,1,21,
430,2,6133,
430,3,26844,
431,1,8,
431,2,555,
431,3,19606,
432,1,165,
432,2,14719,
432,3,28141,
433,1,29,
433,2,5015,
433,3,26448,
434,1,10,
434,2,2099,
434,3,24327,
435,1,63,
435,2,10688,
435,3,27747,
436,1,11,
436,2,3662,
436,3,25769,
437,1,6,
437,2,2267,
437,3,24486,
438,1,646,
438,2,19491,
438,3,28379,
439,1,119,
439,2,11466,
439,3,27869,
440,1,54,
440,2,5893,
440,3,26744,
441,1,202,
441,2,14941,
441,3,28150,
442,1,37,
442,2,7662,
442,3,27218,
443,1,14,
443,2,6123,
443,3,26749,
444,1,314,
444,2,17395,
444,3,28265,
445,1,66,
445,2,6957,
445,3,27160,
446,1,20,
446,2,3626,
446,3,25711,
447,1,127,
447,2,12433,
447,3,27962,
448,1,19,
448,2,4263,
448,3,26151,
449,1,7,
449,2,3243,
449,3,25483,
450,1,269,
450,2,15989,
450,3,28212,
451,1,37,
451,2,7218,
451,3,27158,
452,1,15,
452,2,4428,
452,3,26206,
453,1,88,
453,2,10635,
453,3,27752,
454,1,14,
454,2,1592,
454,3,23028,
455,1,5,
455,2,1031,
455,3,21778,
456,1,140,
456,2,13237,
456,3,28053,
457,1,21,
457,2,4680,
457,3,26320,
458,1,11,
458,2,2249,
458,3,24396,
459,1,38,
459,2,7583,
459,3,27257,
460,1,3,
460,2,5850,
460,3,26661,
461,1,2,
461,2,27,
461,3,7074,
462,1,340,
462,2,17160,
462,3,28291,
463,1,57,
463,2,8888,
463,3,27532,
464,1,21,
464,2,2852,
464,3,24926,
465,1,130,
465,2,12915,
465,3,28009,
466,1,30,
466,2,8403,
